hidden_size,num_layers,dropout,lr,seq_len,optimizer,final_train_loss,final_val_loss,final_val_perplexity
128,1,0.0,0.001,100,adam,1.4874117374420166,1.4387533247470856,4.21543725850986
128,1,0.0,0.001,100,sgd,3.5031304240226744,3.522012412548065,33.852485127693555
128,1,0.0,0.001,200,adam,1.6177339613437653,1.5636785686016084,4.776359132935888
128,1,0.0,0.001,200,sgd,3.903872752189636,3.9187413692474364,50.33704913254847
128,1,0.0,0.0005,100,adam,1.6768749475479126,1.6131191015243531,5.018439864942642
128,1,0.0,0.0005,100,sgd,3.9294553279876707,3.938648009300232,51.349130802089384
128,1,0.0,0.0005,200,adam,1.8895852863788605,1.8361076712608337,6.272077699351501
128,1,0.0,0.0005,200,sgd,4.28768150806427,4.29085214138031,73.02867274645871
128,1,0.0,0.0001,100,adam,2.255411458015442,2.24710556268692,9.460313884442094
128,1,0.0,0.0001,100,sgd,4.433779668807984,4.437119436264038,84.53109342994217
128,1,0.0,0.0001,200,adam,2.5841606974601747,2.574807584285736,13.128790729789825
128,1,0.0,0.0001,200,sgd,4.470844030380249,4.472967672348022,87.61635420434546
128,1,0.3,0.001,100,adam,1.5203384280204773,1.476157945394516,4.376100125228124
128,1,0.3,0.001,100,sgd,3.505830156803131,3.519994854927063,33.78425464094814
128,1,0.3,0.001,200,adam,1.675094622373581,1.6331256449222564,5.119852576181181
128,1,0.3,0.001,200,sgd,3.9777761340141295,3.991924822330475,54.15903562081085
128,1,0.3,0.0005,100,adam,1.7062587499618531,1.656903123855591,5.243048604225705
128,1,0.3,0.0005,100,sgd,3.970575213432312,3.9877023458480836,53.930832496813665
128,1,0.3,0.0005,200,adam,1.9055565536022185,1.8584315121173858,6.413669115704049
128,1,0.3,0.0005,200,sgd,4.2373368501663204,4.245721769332886,69.80612588640486
128,1,0.3,0.0001,100,adam,2.246076774597168,2.217953598499298,9.18850823607851
128,1,0.3,0.0001,100,sgd,4.419910788536072,4.420971536636353,83.1770556732211
128,1,0.3,0.0001,200,adam,2.584589397907257,2.577441680431366,13.163418813676955
128,1,0.3,0.0001,200,sgd,4.492032146453857,4.491703939437866,89.27343287659751
128,1,0.5,0.001,100,adam,1.5826587438583375,1.531051367521286,4.623034776718563
128,1,0.5,0.001,100,sgd,3.4683648586273192,3.5002913236618043,33.12510067880122
128,1,0.5,0.001,200,adam,1.709709393978119,1.663939392566681,5.280070197266768
128,1,0.5,0.001,200,sgd,3.9589242339134216,3.9676693439483643,52.861185915362434
128,1,0.5,0.0005,100,adam,1.753937041759491,1.6801462829113007,5.366340917680912
128,1,0.5,0.0005,100,sgd,3.9656390070915224,3.968211281299591,52.88984113040444
128,1,0.5,0.0005,200,adam,1.900328242778778,1.8538490772247314,6.384346131204023
128,1,0.5,0.0005,200,sgd,4.315167689323426,4.320470023155212,75.22397699503267
128,1,0.5,0.0001,100,adam,2.2736777901649474,2.2545351505279543,9.530861864143201
128,1,0.5,0.0001,100,sgd,4.431710028648377,4.433663439750672,84.23945850069832
128,1,0.5,0.0001,200,adam,2.572020637989044,2.5613227248191834,12.952939163412966
128,1,0.5,0.0001,200,sgd,4.498907589912415,4.499581027030945,89.97942445538101
128,2,0.0,0.001,100,adam,1.5067272186279297,1.4476366937160492,4.253051365681865
128,2,0.0,0.001,100,sgd,3.672984230518341,3.6903162479400633,40.05751306035605
128,2,0.0,0.001,200,adam,1.6151799857616425,1.5701087713241577,4.807171047699216
128,2,0.0,0.001,200,sgd,4.116775131225586,4.128135561943054,62.06210405105675
128,2,0.0,0.0005,100,adam,1.6478291451931,1.5813541173934937,4.861534444461677
128,2,0.0,0.0005,100,sgd,4.058054184913635,4.067456960678101,58.408239118420916
128,2,0.0,0.0005,200,adam,1.9428547978401185,1.8991235852241517,6.6800373925776455
128,2,0.0,0.0005,200,sgd,4.357917475700378,4.364081358909607,78.57718254726733
128,2,0.0,0.0001,100,adam,2.349762439727783,2.3436784386634826,10.419493624669116
128,2,0.0,0.0001,100,sgd,4.474764966964722,4.476642990112305,87.93896463216187
128,2,0.0,0.0001,200,adam,2.75576833486557,2.7603151321411135,15.804822771207862
128,2,0.0,0.0001,200,sgd,4.489251160621643,4.489177894592285,89.04820876449708
128,2,0.3,0.001,100,adam,1.5831708371639253,1.543904846906662,4.682840390650742
128,2,0.3,0.001,100,sgd,3.552055299282074,3.591372084617615,36.28382626772258
128,2,0.3,0.001,200,adam,1.6949757516384125,1.6465836584568023,5.189221357452763
128,2,0.3,0.001,200,sgd,3.9170220255851746,3.936037337779999,51.21524992425302
128,2,0.3,0.0005,100,adam,1.7353336334228515,1.6544821918010713,5.230370891928282
128,2,0.3,0.0005,100,sgd,3.974116098880768,3.9853336811065674,53.80323960744276
128,2,0.3,0.0005,200,adam,1.8956613421440125,1.8425878763198853,6.312854025774539
128,2,0.3,0.0005,200,sgd,4.293192315101623,4.299950098991394,73.6961160973149
128,2,0.3,0.0001,100,adam,2.2328956007957457,2.2298598885536194,9.298563153075627
128,2,0.3,0.0001,100,sgd,4.433985662460327,4.436772251129151,84.50175058486208
128,2,0.3,0.0001,200,adam,2.5643163204193113,2.561744010448456,12.958397200154849
128,2,0.3,0.0001,200,sgd,4.508655095100403,4.508433318138122,90.7794844718117
